scenario,seed,task_id,export_format,mutated,applicable,success,query_hops
normal_flow,1,A1_evidence_to_recommendation,tsgg,False,False,True,0
normal_flow,1,A1_evidence_to_recommendation,flat_json,False,False,True,0
normal_flow,1,A1_evidence_to_recommendation,prov,False,False,True,0
normal_flow,1,A1_evidence_to_recommendation,xes,False,False,True,0
normal_flow,1,A2_missing_human_disposition,tsgg,True,True,True,2
normal_flow,1,A2_missing_human_disposition,flat_json,True,True,True,2
normal_flow,1,A2_missing_human_disposition,prov,True,True,True,2
normal_flow,1,A2_missing_human_disposition,xes,True,True,True,2
normal_flow,1,A3_privacy_violation,tsgg,False,True,True,1
normal_flow,1,A3_privacy_violation,flat_json,False,True,True,1
normal_flow,1,A3_privacy_violation,prov,False,True,True,1
normal_flow,1,A3_privacy_violation,xes,False,True,True,1
normal_flow,1,A4_causal_evidence_support,tsgg,True,False,True,0
normal_flow,1,A4_causal_evidence_support,flat_json,True,False,True,0
normal_flow,1,A4_causal_evidence_support,prov,True,False,True,0
normal_flow,1,A4_causal_evidence_support,xes,True,False,True,0
normal_flow,1,A5_governance_append_only,tsgg,False,True,True,1
normal_flow,1,A5_governance_append_only,flat_json,False,True,True,1
normal_flow,1,A5_governance_append_only,prov,False,True,True,1
normal_flow,1,A5_governance_append_only,xes,False,True,True,1
normal_flow,1,A6_benchmark_coupling,tsgg,False,True,True,1
normal_flow,1,A6_benchmark_coupling,flat_json,False,True,True,1
normal_flow,1,A6_benchmark_coupling,prov,False,True,True,1
normal_flow,1,A6_benchmark_coupling,xes,False,True,True,1
normal_flow,1,A7_evacuation_zone_count,tsgg,False,False,True,0
normal_flow,1,A7_evacuation_zone_count,flat_json,False,False,True,0
normal_flow,1,A7_evacuation_zone_count,prov,False,False,True,0
normal_flow,1,A7_evacuation_zone_count,xes,False,False,True,0
normal_flow,1,A2_missing_human_disposition,tsgg,True,True,True,2
normal_flow,1,A2_missing_human_disposition,flat_json,True,True,True,2
normal_flow,1,A2_missing_human_disposition,prov,True,True,True,2
